sex	name	pct
F	A'Isha	0.0013746989007234864
F	A'Ishah	0.001243078793207408
F	A'Niyah	4.3873369172026165e-05
F	Aa'Isha	8.774673834405233e-05
F	Aa'Ishah	0.000263240215032157
F	Aabidah	0.00010237119473472772
F	Aabish	4.3873369172026165e-05
F	Aadhira	0.00011699565112540311
F	Aadhya	0.002749397801446973
F	Aadila	4.3873369172026165e-05
F	Aadilah	4.3873369172026165e-05
F	Aaditri	8.774673834405233e-05
F	Aadya	0.0025154064991961666
F	Aaeesha	0.0003509869533762093
F	Aafia	0.001169956511254031
F	Aafiya	0.0008482184706591725
F	Aafiyah	0.001579441290192942
F	Aafreen	0.0009652141217845756
F	Aafrin	0.0001316201075160785
F	Aagya	4.3873369172026165e-05
F	Aahana	0.0012869521623794342
F	Aahna	0.0002486157586414816
F	Aaidah	0.00010237119473472772
F	Aaila	0.002369161935289413
F	Aailyah	4.3873369172026165e-05
F	Aaima	0.002105921720257256
F	Aaina	0.0001316201075160785
F	Aaira	0.003305127144292638
F	Aairah	0.0033782494262460144
F	Aaisha	0.009842259150924536
F	Aaishah	0.0040802233329984335
F	Aaiza	0.0011845809676447065
F	Aaizah	0.0005703537992363401
F	Aakifa	0.0002486157586414816
F	Aakifah	0.0023984108480707635
F	Aakriti	4.3873369172026165e-05
F	Aala	0.0007458472759244448
F	Aalaa	0.000263240215032157
F	Aalaya	4.3873369172026165e-05
F	Aalayah	0.001096834229300654
F	Aaleah	4.3873369172026165e-05
F	Aaleen	8.774673834405233e-05
F	Aaleigha	0.00014624456390675388
F	Aaleyah	0.0025885287811495436
F	Aalia	0.0053525510389871925
F	Aaliah	0.0024715331300241405
F	Aalimah	0.0004972315172829632
F	Aalisha	0.00019011793307878005
F	Aaliya	0.008877045029139961
F	Aaliyah	0.12477586192524241
F	Aaliyah-Grace	0.00014624456390675388
F	Aaliyah-Jade	5.8497825562701554e-05
F	Aaliyah-Louise	4.3873369172026165e-05
F	Aaliyah-Mae	0.0002778646714228324
F	Aaliyah-Mai	0.00010237119473472772
F	Aaliyah-Marie	8.774673834405233e-05
F	Aaliyah-May	0.00017549347668810466
F	Aaliyah-Rae	0.00010237119473472772
F	Aaliyah-Rose	0.0010675853165193034
F	Aaliyha	0.00043873369172026165
F	Aalliyah	4.3873369172026165e-05
F	Aalya	0.00019011793307878005
F	Aalyah	4.3873369172026165e-05
F	Aalyiah	4.3873369172026165e-05
F	Aamaal	4.3873369172026165e-05
F	Aamal	0.00011699565112540311
F	Aamanah	4.3873369172026165e-05
F	Aamanee	0.00021936684586013083
F	Aamani	0.00043873369172026165
F	Aamaya	0.00020474238946945544
F	Aamena	0.0018426815052250988
F	Aamenah	0.0008628429270498479
F	Aamilah	0.002266790740554685
F	Aamina	0.016350142244775084
F	Aaminah	0.02663113508741988
F	Aamira	0.002076672807475905
F	Aamirah	0.00244228421724279
F	Aamiyah	4.3873369172026165e-05
F	Aamna	0.006303140704381092
F	Aamnah	0.0009505896653939002
F	Aana	0.00019011793307878005
F	Aanah	4.3873369172026165e-05
F	Aanaya	0.0003656114097668847
F	Aanchal	0.00011699565112540311
F	Aania	0.0006873494503617432
F	Aanika	0.00014624456390675388
F	Aanisah	0.0008628429270498479
F	Aanisha	4.3873369172026165e-05
F	Aaniya	0.0006434760811897171
F	Aaniyah	0.0007750961887057955
F	Aanvi	0.00032173804059485854
F	Aanya	0.008730800465233206
F	Aara	0.000979838578175251
F	Aarabi	0.00016086902029742927
F	Aaradhana	4.3873369172026165e-05
F	Aaradhya	0.001769559223271722
F	Aaralyn	4.3873369172026165e-05
F	Aarani	0.00019011793307878005
F	Aarathana	4.3873369172026165e-05
F	Aaravi	8.774673834405233e-05
F	Aaria	0.001769559223271722
F	Aariah	0.00043873369172026165
F	Aariana	0.000263240215032157
F	Aaribah	5.8497825562701554e-05
F	Aarifa	4.3873369172026165e-05
F	Aarifah	0.0009505896653939002
F	Aarika	0.00029248912781350777
F	Aarini	0.0001316201075160785
F	Aarisha	4.3873369172026165e-05
F	Aariya	0.002135170633038607
F	Aariyah	0.0003948603225482355
F	Aarna	0.0028371445397910255
F	Aarohi	0.0013162010751607848
F	Aarthi	0.00010237119473472772
F	Aarti	0.0007750961887057955
F	Aaruhi	0.00020474238946945544
F	Aarunya	4.3873369172026165e-05
F	Aarusha	4.3873369172026165e-05
F	Aarushi	0.002047423894694554
F	Aarvi	0.0009505896653939002
F	Aarya	0.007195232544212291
F	Aaryahi	4.3873369172026165e-05
F	Aaryana	4.3873369172026165e-05
F	Aaryanna	4.3873369172026165e-05
F	Aarzo	4.3873369172026165e-05
F	Aarzoo	0.0005118559736736385
F	Aarzu	4.3873369172026165e-05
F	Aasha	0.0005118559736736385
F	Aashi	0.0014624456390675388
F	Aashika	0.00014624456390675388
F	Aashiyana	4.3873369172026165e-05
F	Aashna	0.0010383364037379525
F	Aashni	0.0004826070608922878
F	Aashritha	5.8497825562701554e-05
F	Aashriya	8.774673834405233e-05
F	Aashvi	0.0007019739067524186
F	Aasia	0.0008774673834405233
F	Aasiya	0.003085760298432507
F	Aasiyah	0.00656638091941325
F	Aastha	0.00033636249698553393
F	Aathavi	4.3873369172026165e-05
F	Aathira	0.00010237119473472772
F	Aathmika	5.8497825562701554e-05
F	Aatifa	4.3873369172026165e-05
F	Aatika	0.0005118559736736385
F	Aatikah	0.0009067162962218741
F	Aatiqa	0.00011699565112540311
F	Aatiqah	0.00016086902029742927
F	Aava	0.00029248912781350777
F	Aavni	0.00010237119473472772
F	Aavya	0.0006727249939710679
